,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,lesion_1,lesion_2,lesion_3,age_is_adult,surgical_lesion_is_yes,surgery_is_yes,cp_data_is_no,abdomen_is_distend_small,abdomen_is_distend_large,abdomen_is_normal,abdomen_is_firm,abdomen_is_other,mucous_membrane_is_dark_cyanotic,mucous_membrane_is_pale_cyanotic,mucous_membrane_is_pale_pink,mucous_membrane_is_normal_pink,mucous_membrane_is_bright_pink,mucous_membrane_is_bright_red,outcome
316,1.0120065792674195,-0.5352499982417526,0.6047737761654676,2,2,0,4,2,1,1,0,1.3515678668018292,1,-0.7218729669561735,-0.5208204506427095,1,-0.6237953318001346,0.2148305679551532,-0.07546531948629838,-0.040274806222011794,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
1131,-0.256468124269845,0.9769411686739609,-1.0978295927022248,1,1,2,6,3,1,1,0,-0.19756096428889824,1,-0.2471082879749859,-0.5658221652163375,2,-0.05724155561460621,-0.29910510969677134,-0.07546531948629838,-0.040274806222011794,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,2
112,-0.5101630649773016,-1.085137695302012,0.11831567077469828,1,2,0,4,2,1,1,2,1.3515678668018292,0,-0.8168259027524111,-0.5395711650483879,0,-1.4421507862903418,-0.3143778133291057,-0.07546531948629838,-0.040274806222011794,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2
958,1.138854049621148,0.7019973201438311,1.2736536710777753,1,1,2,1,2,1,1,1,-1.2303135183493832,0,0.1327034552099642,-0.5958233082654228,1,-1.4421507862903418,-0.31640190658158374,-0.07546531948629838,-0.040274806222011794,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2
273,-0.5101630649773016,0.28958154734863656,1.0912318815562367,1,1,0,6,3,2,2,0,0.008989546523198907,0,-0.15215535217874837,-0.4795688789502172,2,-0.24609281434311575,-0.29892110121927334,-0.07546531948629838,-0.040274806222011794,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
761,-0.256468124269845,-1.4975534680972067,-0.8546005400068403,1,2,0,5,1,1,1,0,-1.2303135183493832,1,-1.196637645937361,2.010525994123866,0,-1.4421507862903418,-0.13276144603857595,-0.07546531948629838,-0.040274806222011794,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
877,-0.12962065391611674,-0.46651403610922015,-1.0978295927022248,2,2,0,4,2,1,0,2,-1.2303135183493832,0,-0.626920031159936,1.1104917026513057,0,-1.4421507862903418,-0.3143778133291057,-0.07546531948629838,-0.040274806222011794,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2
496,0.7583116385599631,0.22084558521610412,-0.8546005400068403,1,1,2,1,2,2,0,2,1.3515678668018292,0,2.22166804272719,-0.4945694504747599,0,4.28633739514111,0.06854382834424019,-0.07546531948629838,-0.040274806222011794,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1045,-1.0175529463922055,0.839469244408896,-1.0978295927022248,0,1,2,1,3,1,0,2,-0.19756096428889824,0,2.4115739143196646,-0.47206859318794586,2,0.6352130597232614,-0.29910510969677134,-0.07546531948629838,-0.040274806222011794,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
810,0.5046166978525156,0.5645253958787663,-0.003298855572994037,1,1,2,1,3,1,1,2,1.093379728286708,1,0.9872798773761019,-0.5208204506427095,0,1.3276676750611294,-0.3143778133291057,-0.07546531948629838,-0.040274806222011794,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
