,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,lesion_1,lesion_2,lesion_3,age_is_adult,surgical_lesion_is_yes,surgery_is_yes,cp_data_is_no,abdomen_is_distend_small,abdomen_is_distend_large,abdomen_is_normal,abdomen_is_firm,abdomen_is_other,mucous_membrane_is_dark_cyanotic,mucous_membrane_is_pale_cyanotic,mucous_membrane_is_pale_pink,mucous_membrane_is_normal_pink,mucous_membrane_is_bright_pink,mucous_membrane_is_bright_red,outcome
284,0.12407428679133078,1.1831490550715582,0.3615447234700829,-1,-1,1,1,1,2,0,0,1.093379728286708,-2,1.2721386847648146,-0.49831959335589554,2,0.38341138141858216,-0.11546464915376359,-0.07546531948629838,-0.040274806222011794,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
852,0.37776922749878733,-0.8789298089044147,0.6047737761654676,0,0,-1,0,-2,0,1,-1,1.3515678668018292,0,-0.5319670953636985,-0.5208204506427095,1,-1.2532995275618324,-0.7052118195348657,-0.07546531948629838,-0.040274806222011794,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
911,0.37776922749878733,-0.6727219225068175,3.0370643031193136,-1,0,-1,4,0,2,1,1,-1.2303135183493832,1,-0.2471082879749859,1.8230188500670825,2,-0.8126465905286439,0.252552305842244,-0.07546531948629838,-0.040274806222011794,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2
968,0.25092175714505904,-0.8789298089044147,-0.368142434616071,0,0,-1,0,-1,0,1,-1,1.3515678668018292,0,-0.626920031159936,-0.5208204506427095,0,-1.2532995275618324,-0.7052118195348657,-0.07546531948629838,-0.040274806222011794,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
1219,-0.5101630649773016,-1.085137695302012,-1.2802513822237633,0,0,-1,4,-2,1,1,-1,0.06062717422622297,-2,-1.196637645937361,-0.5583218794540662,1,1.2647172554849593,-0.11546464915376359,-0.07546531948629838,-0.040274806222011794,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2
801,0.37776922749878733,0.22084558521610412,0.6047737761654676,-2,-1,1,1,1,1,1,1,0.5770034512564653,-2,0.7024210699873894,-0.5208204506427095,2,0.06865928353773322,-0.31658591505908174,-0.07546531948629838,-0.040274806222011794,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
1036,-0.5101630649773016,-1.085137695302012,-0.12491338192068635,-1,0,-1,0,-2,0,1,1,0.5770034512564653,0,-1.2915905817335986,-0.5545717365729306,2,1.2647172554849593,-0.7052118195348657,-0.07546531948629838,-0.040274806222011794,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
1223,-0.256468124269845,-1.2226096195670768,-0.9762150663545325,0,0,-1,4,0,2,1,1,1.3515678668018292,-1,0.8923269415798644,-0.5320708792861165,1,-0.749696170952474,0.2884339589543547,-0.07546531948629838,-0.040274806222011794,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1111,-0.763858005684749,-1.085137695302012,-0.6113714873114556,0,0,1,1,-1,0,1,1,0.9384668451776352,-1,-0.15215535217874837,-0.5020697362370312,2,1.2017668359087896,0.252736314319742,-0.07546531948629838,-0.040274806222011794,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
786,-0.8907054760384773,-0.6727219225068175,-0.8546005400068403,-1,-1,-1,6,1,2,1,1,-1.2303135183493832,-2,0.5125151983949143,1.2604974178967325,2,-0.8126465905286439,-0.7052118195348657,-0.07546531948629838,-0.040274806222011794,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
25,-0.763858005684749,0.5645253958787663,1.0912318815562367,-1,-1,-1,6,1,2,1,0,0.06062717422622297,-2,-0.437014159567461,-0.629574594195644,1,-0.3090432339192856,-0.11509663219876758,-0.07546531948629838,-0.040274806222011794,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
