,rectal_temp,pulse,respiratory_rate,nasogastric_reflux_ph,packed_cell_volume,total_protein,abdomo_protein,lesion_1,lesion_2,lesion_3,age_is_adult,surgical_lesion_is_yes,surgery_is_yes,cp_data_is_no,temp_of_extremities_is_cool,temp_of_extremities_is_cold,temp_of_extremities_is_normal,temp_of_extremities_is_warm,peripheral_pulse_is_reduced,peripheral_pulse_is_normal,peripheral_pulse_is_absent,peripheral_pulse_is_increased,nasogastric_reflux_is_less_1_liter,nasogastric_reflux_is_more_1_liter,nasogastric_reflux_is_none,nasogastric_reflux_is_slight,abdominal_distention_is_slight,abdominal_distention_is_moderate,abdominal_distention_is_none,abdominal_distention_is_severe,capillary_refill_time_is_more_3_sec,capillary_refill_time_is_less_3_sec,capillary_refill_time_is_3,peristalsis_is_absent,peristalsis_is_hypomotile,peristalsis_is_normal,peristalsis_is_hypermotile,peristalsis_is_distend_small,abdomen_is_distend_small,abdomen_is_distend_large,abdomen_is_normal,abdomen_is_firm,abdomen_is_other,abdomo_appearance_is_serosanguious,abdomo_appearance_is_cloudy,abdomo_appearance_is_clear,mucous_membrane_is_dark_cyanotic,mucous_membrane_is_pale_cyanotic,mucous_membrane_is_pale_pink,mucous_membrane_is_normal_pink,mucous_membrane_is_bright_pink,mucous_membrane_is_bright_red,rectal_exam_feces_is_decreased,rectal_exam_feces_is_absent,rectal_exam_feces_is_normal,rectal_exam_feces_is_increased,rectal_exam_feces_is_serosanguious,pain_is_depressed,pain_is_mild_pain,pain_is_extreme_pain,pain_is_alert,pain_is_severe_pain,pain_is_slight,nasogastric_tube_is_slight,nasogastric_tube_is_none,nasogastric_tube_is_significant,outcome
294,1.138854049621148,-0.9476657710369472,1.8209190396423907,-1.7466897953796257,-0.057202416382510855,-0.41956659285204656,-1.064448268833323,-0.3143778133291057,-0.07546531948629838,-0.040274806222011794,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2
24,-0.12962065391611674,1.6986687710655513,1.0912318815562367,-1.2303135183493832,0.7024210699873894,1.6730131348216557,-0.8126465905286439,-0.11546464915376359,-0.07546531948629838,-0.040274806222011794,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
830,-0.12962065391611674,-0.5352499982417526,3.645136934857775,0.31881531274134417,-1.2915905817335986,-0.5208204506427095,0.005708863961563362,5.019291915428032,-0.07546531948629838,-0.040274806222011794,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2
888,-0.256468124269845,-0.9476657710369472,0.11831567077469828,0.31881531274134417,0.22765639100620172,-0.5470714508106592,-0.434944073071625,-0.3143778133291057,-0.07546531948629838,-0.040274806222011794,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
594,0.8851591089136914,-0.6727219225068175,-0.8546005400068403,1.3515678668018292,-0.057202416382510855,-0.5808227367408801,2.3348743882798457,-0.7052118195348657,-0.07546531948629838,-0.040274806222011794,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2
1072,0.37776922749878733,-0.8789298089044147,-0.368142434616071,1.3515678668018292,-0.057202416382510855,-0.5395711650483879,0.19456012269007292,-0.13276144603857595,-0.07546531948629838,-0.040274806222011794,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2
992,0.12407428679133078,0.5645253958787663,0.8480028288608521,-0.7139372413191407,1.367091620561052,-0.5020697362370312,-1.4421507862903418,-0.31640190658158374,-0.07546531948629838,-0.040274806222011794,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2
365,-0.763858005684749,0.5645253958787663,0.6047737761654676,0.06062717422622297,0.9872798773761019,-0.5208204506427095,-0.3090432339192856,0.08602463370655056,-0.07546531948629838,-0.040274806222011794,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
124,-1.3980953574533814,0.839469244408896,0.30073746029623677,0.31881531274134417,2.22166804272719,-0.3895654498029612,0.38341138141858216,-0.29947312665176734,-0.07546531948629838,-0.040274806222011794,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
421,-0.8907054760384773,-0.26030614971162286,-0.368142434616071,-1.2303135183493832,2.4115739143196646,2.2355345669920057,-0.8126465905286439,-0.4475999510376604,-0.07546531948629838,-0.040274806222011794,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
